Url;Longitude;Latitude;Name;Location
https://scontent.cdninstagram.com/t51.2885-15/s320x320/e35/19932351_1309294212499382_1230686281252470784_n.jpg;80.27;13.09;flood;Chennai, India
https://scontent.cdninstagram.com/t51.2885-15/s320x320/e35/19932170_2000013193556065_3485921351514980352_n.jpg;77.232696;28.655844;drought;Rajasthan India
https://scontent.cdninstagram.com/t51.2885-15/s320x320/e35/19932564_107259026592514_1551228877487996928_n.jpg;139.774444;35.683889;earthquake;Tokio
